Pr,,,,,,,,,,,,,,,
Tr,0.0001,0.01,0.05,0.1,0.2,0.4,0.6,0.8,1,1.2,1.5,2,3,5,7,10
0.3,0,0.0029,0.0145,0.029,0.0579,0.1158,0.1737,0.2315,0.2892,0.347,0.4335,0.5775,0.8648,1.4366,2.0048,2.8507
0.35,0,0.0026,0.013,0.0261,0.0522,0.1043,0.1564,0.2084,0.2604,0.3123,0.3901,0.5195,0.7775,1.2902,1.7987,2.5539
0.4,0,0.0024,0.0119,0.0239,0.0477,0.0953,0.1429,0.1904,0.2379,0.2853,0.3563,0.4744,0.7095,1.1758,1.6373,2.3211
0.45,0,0.0022,0.011,0.0221,0.0442,0.0882,0.1322,0.1762,0.22,0.2638,0.3294,0.4384,0.6551,1.0841,1.5077,2.1338
0.5,0,0.0021,0.0103,0.0207,0.0413,0.0825,0.1236,0.1647,0.2056,0.2465,0.3077,0.4092,0.611,1.0094,1.4017,1.9801
0.55,1,0.9804,0.0098,0.0195,0.039,0.0778,0.1166,0.1553,0.1939,0.2323,0.2899,0.3853,0.5747,0.9475,1.3137,1.852
0.6,1,0.9849,0.0093,0.0186,0.0371,0.0741,0.1109,0.1476,0.1842,0.2207,0.2753,0.3657,0.5446,0.8959,1.2398,1.744
0.65,1,0.9881,0.9377,0.0178,0.0356,0.071,0.1063,0.1415,0.1765,0.2113,0.2634,0.3495,0.5197,0.8526,1.1773,1.6519
0.7,1,0.9904,0.9504,0.8958,0.0344,0.0687,0.1027,0.1366,0.1703,0.2038,0.2538,0.3364,0.4991,0.8161,1.1341,1.5729
0.75,1,0.9922,0.9598,0.9165,0.0336,0.067,0.1001,0.133,0.1656,0.1981,0.2464,0.326,0.4823,0.7854,1.0787,1.5047
0.8,1,0.9935,0.9669,0.9319,0.8539,0.0661,0.0985,0.1307,0.1626,0.1942,0.2411,0.3182,0.469,0.7598,1.04,1.4456
0.85,1,0.9946,0.9725,0.9436,0.881,0.0661,0.0983,0.1301,0.1614,0.1924,0.2382,0.3132,0.4591,0.7388,1.0071,1.3943
0.9,1,0.9954,0.9768,0.9528,0.9015,0.78,0.1006,0.1321,0.163,0.1935,0.2383,0.3114,0.4527,0.722,0.9793,1.3496
0.93,1,0.9959,0.979,0.9573,0.9115,0.8059,0.6635,0.1359,0.1664,0.1963,0.2405,0.3122,0.4507,0.7138,0.9648,1.3257
0.95,1,0.9961,0.9803,0.96,0.9174,0.8206,0.6967,0.141,0.1705,0.1998,0.2432,0.3138,0.4501,0.7092,0.9561,1.3108
0.97,1,0.9963,0.9815,0.9625,0.9227,0.8338,0.724,0.558,0.1779,0.2055,0.2474,0.3164,0.4504,0.7052,0.948,1.2968
0.98,1,0.9965,0.9821,0.9637,0.9253,0.8398,0.736,0.5887,0.1844,0.2097,0.2503,0.3182,0.4508,0.7035,0.9442,1.2901
0.99,1,0.9966,0.9826,0.9648,0.9277,0.8455,0.7471,0.6138,0.1959,0.2154,0.2538,0.3204,0.4514,0.7018,0.9406,1.2835
1,1,0.9967,0.9832,0.9659,0.93,0.8509,0.7574,0.6355,0.2901,0.2237,0.2583,0.3229,0.4522,0.7004,0.9372,1.2772
1.01,1,0.9968,0.9837,0.9669,0.9322,0.8561,0.7671,0.6542,0.4648,0.237,0.264,0.326,0.4533,0.6991,0.9339,1.271
1.02,1,0.9969,0.9842,0.9679,0.9343,0.861,0.7761,0.671,0.5146,0.2629,0.2715,0.3297,0.4547,0.698,0.9307,1.265
1.05,1,0.9971,0.9855,0.9707,0.9401,0.8743,0.8002,0.713,0.6026,0.4437,0.3131,0.3452,0.4604,0.6956,0.9222,1.2481
1.1,1,0.9975,0.9874,0.9747,0.9485,0.893,0.8323,0.7649,0.688,0.5984,0.458,0.3953,0.477,0.695,0.911,1.2232
1.15,1,0.9978,0.9891,0.978,0.9554,0.9081,0.8576,0.8032,0.7443,0.6803,0.5798,0.476,0.5042,0.6987,0.9033,1.2021
1.2,1,0.9981,0.9904,0.9808,0.9611,0.9205,0.8779,0.833,0.7858,0.7363,0.6605,0.5605,0.5425,0.7069,0.899,1.1844
1.3,1,0.9985,0.9926,0.9852,0.9702,0.9396,0.9083,0.8764,0.8438,0.8111,0.7624,0.6908,0.6344,0.7358,0.8998,1.158
1.4,1,0.9988,0.9942,0.9884,0.9768,0.9534,0.9298,0.9062,0.8827,0.8595,0.8256,0.7753,0.7202,0.7761,0.9112,1.1419
1.5,1,0.9991,0.9954,0.9909,0.9818,0.9636,0.9456,0.9278,0.9103,0.8933,0.8689,0.8328,0.7887,0.82,0.9297,1.1339
1.6,1,0.9993,0.9964,0.9928,0.9856,0.9714,0.9575,0.9439,0.9308,0.918,0.9,0.8738,0.841,0.8617,0.9518,1.132
1.7,1,0.9994,0.9971,0.9943,0.9886,0.9775,0.9667,0.9563,0.9463,0.9367,0.9234,0.9043,0.8809,0.8984,0.9745,1.1343
1.8,1,0.9995,0.9977,0.9955,0.991,0.9823,0.9739,0.9659,0.9583,0.9511,0.9413,0.9275,0.9118,0.9297,0.9961,1.1391
1.9,1,0.9996,0.9982,0.9964,0.9929,0.9861,0.9796,0.9735,0.9678,0.9624,0.9552,0.9456,0.9359,0.9557,1.0157,1.1452
2,1,0.9997,0.9986,0.9972,0.9944,0.9892,0.9842,0.9796,0.9754,0.9715,0.9664,0.9599,0.955,0.9772,1.0328,1.1516
2.2,1,0.9998,0.9992,0.9983,0.9967,0.9937,0.991,0.9886,0.9865,0.9847,0.9826,0.9806,0.9827,1.0094,1.06,1.1635
2.4,1,0.9999,0.9996,0.9991,0.9983,0.9969,0.9957,0.9948,0.9941,0.9936,0.9935,0.9945,1.0011,1.0313,1.0793,1.1728
2.6,1,1,0.9998,0.9997,0.9994,0.9991,0.999,0.999,0.9993,0.9998,1.001,1.004,1.0137,1.0463,1.0926,1.1792
2.8,1,1,1,1.0001,1.0002,1.0007,1.0013,1.0021,1.0031,1.0042,1.0063,1.0106,1.0223,1.0565,1.1016,1.183
3,1,1,1.0002,1.0004,1.0008,1.0018,1.003,1.0043,1.0057,1.0074,1.0101,1.0153,1.0284,1.0635,1.1075,1.1848
3.5,1,1.0001,1.0004,1.0008,1.0017,1.0035,1.0055,1.0075,1.0097,1.012,1.0156,1.0221,1.0368,1.0723,1.1138,1.1834
4,1,1.0001,1.0005,1.001,1.0021,1.0043,1.0066,1.009,1.0115,1.014,1.0179,1.0249,1.0401,1.0747,1.1136,1.1773
